time,C_AS,C_BS,C_AL,C_BL
0,0,0,1,0.7
0.0171293,7.43E-06,4.16E-06,0.999988,0.699994
0.188423,8.18E-05,4.58E-05,0.999869,0.69993
1.90136,0.000823915,0.00046151,0.998682,0.69929
19.0307,0.00813283,0.00456742,0.98697,0.692967
96.7218,0.0388409,0.0220595,0.937435,0.665898
232.125,0.0838761,0.0484852,0.863579,0.624517
419.125,0.131665,0.0777337,0.78288,0.577782
657.279,0.174432,0.105339,0.707096,0.532246
787.151,0.191315,0.116794,0.675477,0.512681
950.471,0.207758,0.128397,0.625618,0.504199
1131.12,0.218467,0.139808,0.560233,0.511891
1482.05,0.224347,0.158908,0.463628,0.526763
1937.08,0.21564,0.179284,0.377529,0.544528
2000,0.213572,0.181787,0.368122,0.54681
